[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_01_Test_PerformViewChannelUserByMSISDN(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Dealer ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_01_Test_PerformViewChannelUserByMSISDN(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_01_Test_PerformViewChannelUserByMSISDN(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Super Distributor ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_01_Test_PerformViewChannelUserByMSISDN(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_02_Test_PerformViewChannelUserByLoginID(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Dealer ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_02_Test_PerformViewChannelUserByLoginID(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_02_Test_PerformViewChannelUserByLoginID(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Super Distributor ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_02_Test_PerformViewChannelUserByLoginID(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_03_Test_PerformViewChannelUserByUserName(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Dealer ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_03_Test_PerformViewChannelUserByUserName(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_03_Test_PerformViewChannelUserByUserName(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Super Distributor ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_03_Test_PerformViewChannelUserByUserName(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_07_Test_PerformViewChannelUserHideFilters(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Dealer ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_07_Test_PerformViewChannelUserHideFilters(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Super Distributor for Agent [ For Parent Agent ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_07_Test_PerformViewChannelUserHideFilters(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Super Distributor ]
[Unexpected Skip] :: PreRequisite_ViewChannelUser_Revamp.TC_07_Test_PerformViewChannelUserHideFilters(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_ViewChannelUser_Revamp@76b10754] -- org.testng.SkipException: View Channel User cannot be performed by Dealer for Agent [ For Parent Agent ]
