[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_01_Test_LoginLogout(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Super Distributor].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_01_Test_LoginLogout(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Dealer].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_01_Test_LoginLogout(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Agent].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_01_Test_LoginLogout(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Agent].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_01_Test_LoginLogout(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Retailer].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_02_Test_VerifyHidelink(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Super Distributor].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_02_Test_VerifyHidelink(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Dealer].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_02_Test_VerifyHidelink(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Agent].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_02_Test_VerifyHidelink(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Agent].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_02_Test_VerifyHidelink(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Retailer].
[Unexpected Skip] :: PreRequisite_LowThresholdTransactionReportPage_Revamp.TC_03_Test_VerifyProceedButton(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_LowThresholdTransactionReportPage_Revamp@76b10754] -- org.testng.SkipException: LowThresholdTransactionReportPage is not allowed to category[Super Distributor].
