[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_01_Test_DVDBulkRecharge(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_02_Test_DVDBulkRechargeResetButton(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_03_Test_DVDBulkRechargeCopyButton(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_04_Test_DVDBulkRechargeInvalidMSISDN(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_05_Test_DVDBulkRechargeNegativeQuantity(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_06_Test_DVDBulkRechargeBlankQuantity(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_07_Test_DVDBulkRechargeBlankVoucherType(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_08_Test_DVDBulkRechargeBlankPIN(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_09_Test_DVDBulkRechargeInvalidPIN(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_10_Test_DVDBulkRechargeBlankSegment(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_11_Test_DVDBulkRechargeBlankDenomination(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_12_Test_DVDBulkRechargeBlankProfileID(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
[Unexpected Skip] :: PreRequisite_DVDBulkRecharge_Revamp.TC_13_Test_DVDBulkRechargeZeroQuantity(java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:angular.testscripts.prereuisitesangular.PreRequisite_DVDBulkRecharge_Revamp@2bea5ab4] -- org.testng.SkipException: As vouchers are not available for Super Distributor, case is skipped.
