[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Super Distributor to Dealer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Super Distributor to Agent category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Super Distributor to Retailer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Dealer to Super Distributor category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Dealer to Agent category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Dealer to Retailer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Agent to Super Distributor category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Agent to Dealer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Agent to Retailer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Retailer to Super Distributor category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Retailer to Dealer category already exists.
[Unexpected Skip] :: PreRequisite_C2CTransferRuleCreation.Test_C2CTransferRuleCreation(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)[pri:0, instance:com.testscripts.prerequisites.PreRequisite_C2CTransferRuleCreation@3d8314f0] -- org.testng.SkipException: C2C Transfer Rule from Retailer to Agent category already exists.
